threshold_label,market_question,market_slug,condition_id,token_id,selected_date,probability,source_endpoint_type,source_endpoint,raw_file_path,resolution_status,final_outcome_0_1
(HIGH) $1.5T,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,2026-05-28,0.925,prices_history,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,open,1
(LOW) $750B,Will Anthropic’s valuation hit (LOW) $750B by June 30?,will-anthropics-valuation-hit-low-750b-by-june-30,0x7677b744e64c91b1fbb08f87590749120f4cb2681aa1eb60e8171aa463269132,106964633064663709074008615736117588997729155907705078449227522406523301984868,2026-05-28,0.995,prices_history,https://clob.polymarket.com/prices-history?market=106964633064663709074008615736117588997729155907705078449227522406523301984868&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_106964633064663709074008615736117588997729155907705078449227522406523301984868_1d.txt,open,1
(LOW) $875B,Will Anthropic’s valuation hit (LOW) $875B by June 30?,will-anthropics-valuation-hit-low-875b-by-june-30,0x351654b935455974b1ff5b152479cdbc00a80346d2378d94a69ea17fff96c372,107136037944699768981297716075344358658633657668763528145017503099290439822893,2026-05-28,0.92,prices_history,https://clob.polymarket.com/prices-history?market=107136037944699768981297716075344358658633657668763528145017503099290439822893&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_107136037944699768981297716075344358658633657668763528145017503099290439822893_1d.txt,open,1
(LOW) $750B,Will Anthropic’s valuation hit (LOW) $750B by June 30?,will-anthropics-valuation-hit-low-750b-by-june-30,0x7677b744e64c91b1fbb08f87590749120f4cb2681aa1eb60e8171aa463269132,13737188042635089024191203502867547519212196840860033541206597148198132014700,2026-05-28,0.005,prices_history,https://clob.polymarket.com/prices-history?market=13737188042635089024191203502867547519212196840860033541206597148198132014700&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_13737188042635089024191203502867547519212196840860033541206597148198132014700_1d.txt,open,0
(HIGH) $1.0T,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,will-anthropics-valuation-hit-high-1pt0t-by-june-30,0x45fb273305fc50b1ad74285f2bdf9064f905d76bc27f215108fdb4e81a0878e3,16040240860676097446762981384467174178666218757529004749229716486495944018672,2026-05-28,0.968,prices_history,https://clob.polymarket.com/prices-history?market=16040240860676097446762981384467174178666218757529004749229716486495944018672&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_16040240860676097446762981384467174178666218757529004749229716486495944018672_1d.txt,open,1
(HIGH) $1.75T,Will Anthropic’s valuation hit (HIGH) $1.75T by June 30?,will-anthropics-valuation-hit-high-1pt75t-by-june-30,0x9fe50124f0e6ea1f1706ebe2107e82c66ad6f77071d0fd5a900ad56290403890,17128104263548589134560194248716940836854279714315203958781545541014165818204,2026-05-28,0.0185,prices_history,https://clob.polymarket.com/prices-history?market=17128104263548589134560194248716940836854279714315203958781545541014165818204&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_17128104263548589134560194248716940836854279714315203958781545541014165818204_1d.txt,open,0
(LOW) $875B,Will Anthropic’s valuation hit (LOW) $875B by June 30?,will-anthropics-valuation-hit-low-875b-by-june-30,0x351654b935455974b1ff5b152479cdbc00a80346d2378d94a69ea17fff96c372,3015847524067032944034123120815206918161257902805357956057495131423618986926,2026-05-28,0.08,prices_history,https://clob.polymarket.com/prices-history?market=3015847524067032944034123120815206918161257902805357956057495131423618986926&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_3015847524067032944034123120815206918161257902805357956057495131423618986926_1d.txt,open,0
(HIGH) $1.75T,Will Anthropic’s valuation hit (HIGH) $1.75T by June 30?,will-anthropics-valuation-hit-high-1pt75t-by-june-30,0x9fe50124f0e6ea1f1706ebe2107e82c66ad6f77071d0fd5a900ad56290403890,31254290044696022935994857038335653280236616469183990491209140666417272010604,2026-05-28,0.9815,prices_history,https://clob.polymarket.com/prices-history?market=31254290044696022935994857038335653280236616469183990491209140666417272010604&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_31254290044696022935994857038335653280236616469183990491209140666417272010604_1d.txt,open,1
(HIGH) $1.0T,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,will-anthropics-valuation-hit-high-1pt0t-by-june-30,0x45fb273305fc50b1ad74285f2bdf9064f905d76bc27f215108fdb4e81a0878e3,39462971141816025897445442908876923818616799932441332016897556514905244921714,2026-05-28,0.032,prices_history,https://clob.polymarket.com/prices-history?market=39462971141816025897445442908876923818616799932441332016897556514905244921714&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_39462971141816025897445442908876923818616799932441332016897556514905244921714_1d.txt,open,0
(LOW) $850B,Will Anthropic’s valuation hit (LOW) $850B by June 30?,will-anthropics-valuation-hit-low-850b-by-june-30,0xac878146c9e2ee28f133d957d606684af8bb1d2ebbfb977928b203275d70ac4f,43186070120107832349019748782705224538882816636485048751766779961476132151945,2026-05-28,0.065,prices_history,https://clob.polymarket.com/prices-history?market=43186070120107832349019748782705224538882816636485048751766779961476132151945&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_43186070120107832349019748782705224538882816636485048751766779961476132151945_1d.txt,open,0
(HIGH) $1.5T,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,43556707743353571008527228475823431109328558577066165124549907877570594702493,2026-05-28,0.075,prices_history,https://clob.polymarket.com/prices-history?market=43556707743353571008527228475823431109328558577066165124549907877570594702493&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_43556707743353571008527228475823431109328558577066165124549907877570594702493_1d.txt,open,0
(HIGH) $1.25T,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,will-anthropics-valuation-hit-high-1pt25t-by-june-30,0x57fa09373e78720fbe390d8bf873fd06f8fb3bb27b781bf12309f2f85ba23871,4995240683397483680762423088082410872215233659434563744873539118117258410243,2026-05-28,0.775,prices_history,https://clob.polymarket.com/prices-history?market=4995240683397483680762423088082410872215233659434563744873539118117258410243&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_4995240683397483680762423088082410872215233659434563744873539118117258410243_1d.txt,open,1
(LOW) $800B,Will Anthropic’s valuation hit (LOW) $800B by June 30?,will-anthropics-valuation-hit-low-800b-by-june-30,0xc45817aeaf5f390a36cca82888dd9a870d2aba7dc648dadbb65d4e005cff1162,52118302274224118067505142577351232845480236095136996117404029749453558558038,2026-05-28,0.955,prices_history,https://clob.polymarket.com/prices-history?market=52118302274224118067505142577351232845480236095136996117404029749453558558038&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_52118302274224118067505142577351232845480236095136996117404029749453558558038_1d.txt,open,1
(HIGH) $1.1T,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,will-anthropics-valuation-hit-high-1pt1t-by-june-30,0x0ea81f1ee87b0f3f62cf6553304820aa8ad69e25b2078d62e7f77f0c65ed54ab,77607997105163447779793198139960155869252440130588333332389744782957088786576,2026-05-28,0.195,prices_history,https://clob.polymarket.com/prices-history?market=77607997105163447779793198139960155869252440130588333332389744782957088786576&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_77607997105163447779793198139960155869252440130588333332389744782957088786576_1d.txt,open,0
(LOW) $850B,Will Anthropic’s valuation hit (LOW) $850B by June 30?,will-anthropics-valuation-hit-low-850b-by-june-30,0xac878146c9e2ee28f133d957d606684af8bb1d2ebbfb977928b203275d70ac4f,83041798653560101061707430601436785589636325359029280992969331980876249181245,2026-05-28,0.935,prices_history,https://clob.polymarket.com/prices-history?market=83041798653560101061707430601436785589636325359029280992969331980876249181245&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_83041798653560101061707430601436785589636325359029280992969331980876249181245_1d.txt,open,1
(LOW) $800B,Will Anthropic’s valuation hit (LOW) $800B by June 30?,will-anthropics-valuation-hit-low-800b-by-june-30,0xc45817aeaf5f390a36cca82888dd9a870d2aba7dc648dadbb65d4e005cff1162,84437685081756401651450612542902637387779825805096120981273336438305497386609,2026-05-28,0.045,prices_history,https://clob.polymarket.com/prices-history?market=84437685081756401651450612542902637387779825805096120981273336438305497386609&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_84437685081756401651450612542902637387779825805096120981273336438305497386609_1d.txt,open,0
(HIGH) $1.1T,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,will-anthropics-valuation-hit-high-1pt1t-by-june-30,0x0ea81f1ee87b0f3f62cf6553304820aa8ad69e25b2078d62e7f77f0c65ed54ab,94835452031363959809392177065661400624165040433108641981100184485417028920342,2026-05-28,0.805,prices_history,https://clob.polymarket.com/prices-history?market=94835452031363959809392177065661400624165040433108641981100184485417028920342&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_94835452031363959809392177065661400624165040433108641981100184485417028920342_1d.txt,open,1
(HIGH) $1.25T,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,will-anthropics-valuation-hit-high-1pt25t-by-june-30,0x57fa09373e78720fbe390d8bf873fd06f8fb3bb27b781bf12309f2f85ba23871,99506143662839283755318541040789674787297355758059177490351313831742762128999,2026-05-28,0.225,prices_history,https://clob.polymarket.com/prices-history?market=99506143662839283755318541040789674787297355758059177490351313831742762128999&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_99506143662839283755318541040789674787297355758059177490351313831742762128999_1d.txt,open,0
