research_case,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,event_slug,event_title,market_slug,market_question,condition_id,token_id,outcome_name,source_endpoint_type,probability,source_endpoint,raw_file_path,data_status,final_outcome_0_1,resolution_status,notes
fed_january,first_available,,1769587359,2026-01-28T08:02:39Z,2026-01-28,fed-decision-in-january,Fed decision in January?,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,112838095111461683880944516726938163688341306245473734071798778736646352193304,Yes,trades_fallback,0.996,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140733Z_trades_112838095111461683880944516726938163688341306245473734071798778736646352193304_3000.txt,real_api_data,1,resolved,snapshot_selection=first_available
fed_january,final_available,,1769640654,2026-01-28T22:50:54Z,2026-01-28,fed-decision-in-january,Fed decision in January?,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,112838095111461683880944516726938163688341306245473734071798778736646352193304,Yes,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140732Z_trades_112838095111461683880944516726938163688341306245473734071798778736646352193304_0.txt,real_api_data,1,resolved,snapshot_selection=final_available
fed_january,first_available,,1769313796,2026-01-25T04:03:16Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,11862165566757345985240476164489718219056735011698825377388402888080786399275,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_3000.txt,real_api_data,0,resolved,snapshot_selection=first_available
fed_january,T-3,2026-01-25,1769385040,2026-01-25T23:50:40Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,11862165566757345985240476164489718219056735011698825377388402888080786399275,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_3000.txt,real_api_data,0,resolved,snapshot_selection=before_or_on_target
fed_january,T-1,2026-01-27,1769558363,2026-01-27T23:59:23Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,11862165566757345985240476164489718219056735011698825377388402888080786399275,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,real_api_data,0,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769638714,2026-01-28T22:18:34Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,11862165566757345985240476164489718219056735011698825377388402888080786399275,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,real_api_data,0,resolved,snapshot_selection=final_available
fed_january,first_available,,1769186786,2026-01-23T16:46:26Z,2026-01-23,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,16419649354067298412736919830777830730026677464626899811394461690794060330642,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_3000.txt,real_api_data,0,resolved,snapshot_selection=first_available
fed_january,T-3,2026-01-25,1769384216,2026-01-25T23:36:56Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,16419649354067298412736919830777830730026677464626899811394461690794060330642,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_3000.txt,real_api_data,0,resolved,snapshot_selection=before_or_on_target
fed_january,T-1,2026-01-27,1769558397,2026-01-27T23:59:57Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,16419649354067298412736919830777830730026677464626899811394461690794060330642,Yes,trades_fallback,0.002,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_1000.txt,real_api_data,0,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769640300,2026-01-28T22:45:00Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,16419649354067298412736919830777830730026677464626899811394461690794060330642,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_0.txt,real_api_data,0,resolved,snapshot_selection=final_available
fed_january,first_available,,1769208276,2026-01-23T22:44:36Z,2026-01-23,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,42139849929574046088630785796780813725435914859433767469767950066058132350666,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140738Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_3000.txt,real_api_data,1,resolved,snapshot_selection=first_available
fed_january,T-3,2026-01-25,1769369908,2026-01-25T19:38:28Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,42139849929574046088630785796780813725435914859433767469767950066058132350666,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140738Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_3000.txt,real_api_data,1,resolved,snapshot_selection=before_or_on_target
fed_january,T-1,2026-01-27,1769558113,2026-01-27T23:55:13Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,42139849929574046088630785796780813725435914859433767469767950066058132350666,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_1000.txt,real_api_data,1,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769633342,2026-01-28T20:49:02Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,42139849929574046088630785796780813725435914859433767469767950066058132350666,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_0.txt,real_api_data,1,resolved,snapshot_selection=final_available
fed_january,first_available,,1769549667,2026-01-27T21:34:27Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,48193521645113703700467246669338225849301704920590102230072263970163239985027,No,trades_fallback,0.996,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_48193521645113703700467246669338225849301704920590102230072263970163239985027_3000.txt,real_api_data,1,resolved,snapshot_selection=first_available
fed_january,T-1,2026-01-27,1769558391,2026-01-27T23:59:51Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,48193521645113703700467246669338225849301704920590102230072263970163239985027,No,trades_fallback,0.996999999980056,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_48193521645113703700467246669338225849301704920590102230072263970163239985027_3000.txt,real_api_data,1,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769639904,2026-01-28T22:38:24Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,48193521645113703700467246669338225849301704920590102230072263970163239985027,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_48193521645113703700467246669338225849301704920590102230072263970163239985027_0.txt,real_api_data,1,resolved,snapshot_selection=final_available
fed_january,first_available,,1769312942,2026-01-25T03:49:02Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,71478852790279095447182996049071040792010759617668969799049179229104800573786,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_3000.txt,real_api_data,1,resolved,snapshot_selection=first_available
fed_january,T-3,2026-01-25,1769385080,2026-01-25T23:51:20Z,2026-01-25,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,71478852790279095447182996049071040792010759617668969799049179229104800573786,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_3000.txt,real_api_data,1,resolved,snapshot_selection=before_or_on_target
fed_january,T-1,2026-01-27,1769558199,2026-01-27T23:56:39Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,71478852790279095447182996049071040792010759617668969799049179229104800573786,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_0.txt,real_api_data,1,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769639078,2026-01-28T22:24:38Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,71478852790279095447182996049071040792010759617668969799049179229104800573786,No,trades_fallback,0.999,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_0.txt,real_api_data,1,resolved,snapshot_selection=final_available
fed_january,first_available,,1769587511,2026-01-28T08:05:11Z,2026-01-28,fed-decision-in-january,Fed decision in January?,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,7321318078891059430231591636389479745928915782241484131001985601124919020061,No,trades_fallback,0.005,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140735Z_trades_7321318078891059430231591636389479745928915782241484131001985601124919020061_3000.txt,real_api_data,0,resolved,snapshot_selection=first_available
fed_january,final_available,,1769640650,2026-01-28T22:50:50Z,2026-01-28,fed-decision-in-january,Fed decision in January?,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,7321318078891059430231591636389479745928915782241484131001985601124919020061,No,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140735Z_trades_7321318078891059430231591636389479745928915782241484131001985601124919020061_0.txt,real_api_data,0,resolved,snapshot_selection=final_available
fed_january,first_available,,1769549489,2026-01-27T21:31:29Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,92703761682322480664976766247614127878023988651992837287050266308961660624165,Yes,trades_fallback,0.004,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_3000.txt,real_api_data,0,resolved,snapshot_selection=first_available
fed_january,T-1,2026-01-27,1769558307,2026-01-27T23:58:27Z,2026-01-27,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,92703761682322480664976766247614127878023988651992837287050266308961660624165,Yes,trades_fallback,0.004,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_3000.txt,real_api_data,0,resolved,snapshot_selection=before_or_on_target
fed_january,final_available,,1769638778,2026-01-28T22:19:38Z,2026-01-28,fed-decision-in-january,Fed decision in January?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,92703761682322480664976766247614127878023988651992837287050266308961660624165,Yes,trades_fallback,0.001,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_0.txt,real_api_data,0,resolved,snapshot_selection=final_available
